game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
401722276,20241105,2025,2,False,False,1111,Tudor Fieldhouse,True,Rice Owls,242,77,99,Florida International Panthers,2229,70,99,home,147,7
401721763,20241105,2025,2,False,False,673,Cotterell Court,True,Colgate Raiders,2142,95,99,SUNY-Canton Roos,111947,62,99,home,157,33
401700264,20241105,2025,2,False,False,2405,KSU Convocation Center,True,Kennesaw State Owls,338,110,99,Toccoa Falls Eagles,2648,61,99,home,171,49
401722271,20241105,2025,2,False,False,3451,The Super Pit,True,North Texas Mean Green,249,80,99,Evansville Purple Aces,339,63,99,home,143,17
401715636,20241105,2025,2,False,False,12034,United Supermarkets Arena,True,Texas Tech Red Raiders,2641,94,99,Bethune-Cookman Wildcats,2065,61,99,home,155,33
401706971,20241105,2025,2,False,False,9155,Bramlage Coliseum,True,Kansas State Wildcats,2306,89,99,New Orleans Privateers,2443,65,99,home,154,24
401720869,20241105,2025,2,False,False,6966,Desert Financial Arena,True,Arizona State Sun Devils,9,55,99,Idaho State Bengals,304,48,99,home,103,7
401706909,20241105,2025,2,False,False,16941,Marriott Center,True,BYU Cougars,252,88,99,Central Arkansas Bears,2110,50,99,home,138,38
401725365,20241105,2025,2,False,False,2073,The Sobrato Center,True,San Francisco Dons,2539,86,99,Cal Poly Mustangs,13,78,99,home,164,8
401720870,20241105,2025,2,False,False,529,The Nest,True,Sacramento State Hornets,16,106,99,Cal Maritime Keelhaulers,500,44,99,home,150,62
401715429,20241105,2025,2,False,False,5355,Alaska Airlines Arena,True,Washington Huskies,264,79,99,UC Davis Aggies,302,73,99,home,152,6
401714889,20241107,2025,2,False,False,8381,Stephen C. O'Connell Center,True,Florida Gators,57,81,21,Jacksonville Dolphins,294,60,99,home,141,21
401727345,20241107,2025,2,False,False,2762,Kathleen and Tom Elam Center,True,UT Martin Skyhawks,2630,114,99,Kentucky Christian Knights,3077,61,99,home,175,53
401711730,20241107,2025,2,False,False,2113,Flowers Hall,True,North Alabama Lions,2453,94,99,Point University Skyhawks,2932,58,99,home,152,36
401722323,20241107,2025,2,False,False,3071,Icardo Center,True,Cal State Bakersfield Roadrunners,2934,122,99,Bethesda University Flames,3246,53,99,home,175,69
401721996,20241107,2025,2,False,False,1473,Events Center (Binghamton),True,Binghamton Bearcats,2066,82,99,SUNY-Oneonta Red Dragons,355,63,99,home,145,19
401726017,20241107,2025,2,False,False,1402,Bob Carpenter Center,True,Delaware Blue Hens,48,81,99,Robert Morris Colonials,2523,77,99,home,158,4
401721226,20241107,2025,2,False,False,481,Event Center,True,Alabama A&M Bulldogs,2010,121,99,Oakwood Ambassadors,3083,78,99,home,199,43
