game_id,date,season,home_team,away_team,home_score,away_score,winner,total_points,point_diff,venue,neutral_site,conference_game
401322870,2021-05-05,2021,Washington Mystics,Atlanta Dream,80,87,Atlanta Dream,167,7,CareFirst Arena,False,False
401323518,2021-05-08,2021,Dallas Wings,Connecticut Sun,76,89,Connecticut Sun,165,13,College Park Center,False,False
401322871,2021-05-08,2021,Minnesota Lynx,Washington Mystics,79,68,Minnesota Lynx,147,11,Target Center,False,False
401323519,2021-05-08,2021,Los Angeles Sparks,Las Vegas Aces,85,85,Las Vegas Aces,170,0,crypto.com Arena,False,False
401323520,2021-05-08,2021,Phoenix Mercury,Seattle Storm,71,88,Seattle Storm,159,17,Mortgage Matchup Center,False,False
401323454,2021-05-09,2021,Indiana Fever,Chicago Sky,82,65,Indiana Fever,147,17,Corteva Coliseum,False,False
401323455,2021-05-11,2021,Chicago Sky,Indiana Fever,83,70,Chicago Sky,153,13,Wintrust Arena,False,False
401320565,2021-05-14,2021,New York Liberty,Indiana Fever,90,87,New York Liberty,177,3,Barclays Center,False,False
401320566,2021-05-14,2021,Atlanta Dream,Connecticut Sun,67,78,Connecticut Sun,145,11,Gateway Center,False,False
401320567,2021-05-15,2021,Minnesota Lynx,Phoenix Mercury,75,77,Phoenix Mercury,152,2,Target Center,False,False
401320568,2021-05-15,2021,Los Angeles Sparks,Dallas Wings,71,94,Dallas Wings,165,23,Los Angeles Convention Center,False,False
401320569,2021-05-15,2021,Washington Mystics,Chicago Sky,56,70,Chicago Sky,126,14,CareFirst Arena,False,False
401320570,2021-05-15,2021,Seattle Storm,Las Vegas Aces,97,83,Seattle Storm,180,14,Angel of the Winds Arena,False,False
401320571,2021-05-16,2021,Indiana Fever,New York Liberty,65,73,New York Liberty,138,8,Gainbridge Fieldhouse,False,False
401320572,2021-05-16,2021,Connecticut Sun,Phoenix Mercury,86,78,Connecticut Sun,164,8,Mohegan Sun Arena,False,False
401320573,2021-05-18,2021,New York Liberty,Minnesota Lynx,86,75,New York Liberty,161,11,Barclays Center,False,False
401320574,2021-05-19,2021,Washington Mystics,Phoenix Mercury,70,91,Phoenix Mercury,161,21,CareFirst Arena,False,False
401320575,2021-05-19,2021,Seattle Storm,Las Vegas Aces,80,96,Las Vegas Aces,176,16,Angel of the Winds Arena,False,False
401320576,2021-05-19,2021,Atlanta Dream,Chicago Sky,77,85,Chicago Sky,162,8,Gateway Center,False,False
401320577,2021-05-19,2021,Connecticut Sun,Indiana Fever,88,67,Connecticut Sun,155,21,Mohegan Sun Arena,False,False
401320578,2021-05-21,2021,Minnesota Lynx,Seattle Storm,78,90,Seattle Storm,168,12,Target Center,False,False
401320579,2021-05-21,2021,Indiana Fever,Atlanta Dream,79,83,Atlanta Dream,162,4,Gainbridge Fieldhouse,False,False
401320580,2021-05-21,2021,Washington Mystics,New York Liberty,101,72,Washington Mystics,173,29,CareFirst Arena,False,False
401320581,2021-05-22,2021,Phoenix Mercury,Connecticut Sun,67,84,Connecticut Sun,151,17,Mortgage Matchup Center,False,False
401320582,2021-05-22,2021,Las Vegas Aces,Los Angeles Sparks,97,69,Las Vegas Aces,166,28,Michelob ULTRA Arena,False,False
401320583,2021-05-23,2021,Dallas Wings,Seattle Storm,97,100,Seattle Storm,197,3,College Park Center,False,False
401320584,2021-05-23,2021,Chicago Sky,New York Liberty,85,93,New York Liberty,178,8,Wintrust Arena,False,False
401320585,2021-05-23,2021,Indiana Fever,Washington Mystics,89,77,Indiana Fever,166,12,Gainbridge Fieldhouse,False,False
401320586,2021-05-23,2021,Las Vegas Aces,Connecticut Sun,65,72,Connecticut Sun,137,7,Michelob ULTRA Arena,False,False
401320588,2021-05-24,2021,New York Liberty,Dallas Wings,88,81,New York Liberty,169,7,Barclays Center,False,False
401320587,2021-05-25,2021,Indiana Fever,Washington Mystics,69,85,Washington Mystics,154,16,Gainbridge Fieldhouse,False,False
401320589,2021-05-26,2021,Chicago Sky,Atlanta Dream,83,90,Atlanta Dream,173,7,Wintrust Arena,False,False
401320590,2021-05-26,2021,Seattle Storm,Connecticut Sun,90,87,Seattle Storm,177,3,Angel of the Winds Arena,False,False
401320591,2021-05-27,2021,Phoenix Mercury,Las Vegas Aces,79,85,Las Vegas Aces,164,6,Mortgage Matchup Center,False,False
401320592,2021-05-27,2021,Atlanta Dream,Dallas Wings,101,95,Atlanta Dream,196,6,Gateway Center,False,False
401320593,2021-05-28,2021,Connecticut Sun,Washington Mystics,86,81,Connecticut Sun,167,5,Mohegan Sun Arena,False,False
401320594,2021-05-29,2021,Chicago Sky,Los Angeles Sparks,61,76,Los Angeles Sparks,137,15,Wintrust Arena,False,False
401320595,2021-05-29,2021,Seattle Storm,Minnesota Lynx,82,72,Seattle Storm,154,10,Angel of the Winds Arena,False,False
401320596,2021-05-29,2021,Las Vegas Aces,Indiana Fever,113,77,Las Vegas Aces,190,36,Michelob ULTRA Arena,False,False
401320597,2021-05-29,2021,New York Liberty,Atlanta Dream,87,90,Atlanta Dream,177,3,Barclays Center,False,False
401320598,2021-05-30,2021,Dallas Wings,Phoenix Mercury,85,89,Phoenix Mercury,174,4,College Park Center,False,False
401320599,2021-05-30,2021,Chicago Sky,Los Angeles Sparks,79,82,Los Angeles Sparks,161,3,Wintrust Arena,False,False
401320600,2021-05-30,2021,Las Vegas Aces,Indiana Fever,101,78,Las Vegas Aces,179,23,Michelob ULTRA Arena,False,False
